id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating
158,Bart After Dark,11/24/96,4F06,8,5,158,14.1,60210,8.2
202,Lost Our Lisa,5/10/98,5F17,9,24,202,7.6,55316,7.7
199,Girly Edition,4/19/98,5F15,9,21,199,8.5,21811,7.9
187,Realty Bites,12/7/97,5F06,9,9,187,10.6,25183,7.5
174,The Old Man and the Lisa,4/20/97,4F17,8,21,174,14,56833,7.9
159,A Milhouse Divided,12/1/96,4F04,8,6,159,12.8,60956,8
170,"My Sister, My Sitter",3/2/97,4F13,8,17,170,15.1,54247,8.1
193,The Last Temptation of Krust,2/22/98,5F10,9,15,193,9.5,20298,7.5
183,The Cartridge Family,11/2/97,5F01,9,5,183,10.3,30921,8.2
172,Grade School Confidential,4/6/97,4F09,8,19,172,13.3,60584,8.2
161,Hurricane Neddy,12/29/96,4F07,8,8,161,,66281,8.8
197,Simpson Tide,3/29/98,3G04,9,19,197,9,23127,8.3
177,The Simpsons Spin-Off Showcase,5/11/97,4F20,8,24,177,11.6,57926,7.3
179,The City of New York vs. Homer Simpson,9/21/97,4F22,9,1,179,10.5,62962,9.1
188,Miracle on Evergreen Terrace,12/21/97,5F07,9,10,188,9.6,19899,7.6
201,King of the Hill,5/3/98,5F16,9,23,201,9.2,60952,8.3
192,Das Bus,2/15/98,5F11,9,14,192,9.6,32487,8.1
204,Lard of the Dance,8/23/98,5F20,10,1,204,7,56018,7.6
190,Bart Carny,1/11/98,5F08,9,12,190,11.7,22426,7.7
195,Lisa the Simpson,3/8/98,4F24,9,17,195,10.4,21608,8
146,The Day the Violence Died,3/17/96,3F16,7,18,146,14.4,57809,8
208,When You Dish Upon a Star,11/8/98,5F19,10,5,208,9,43485,7.3
210,"Lisa Gets an ""A""",11/22/98,AABF03,10,7,210,8,50013,8
211,"Homer Simpson in: ""Kidney Trouble""",12/6/98,AABF04,10,8,211,7.2,50300,7.3
252,Lisa the Tree Hugger,11/19/00,CABF01,12,4,252,14.9,39480,7.2
215,"Sunday, Cruddy Sunday",1/31/99,AABF08,10,12,215,11.5,50051,6.9
220,Maximum Homerdrive,3/28/99,AABF13,10,17,220,15.5,54195,7.6
232,"Hello Gutter, Hello Fadder",11/14/99,BABF02,11,6,232,9.2,44615,7.3
